province,start_date,end_day,avg_salinity
An Giang,4/7/2025,4/13/2025,0.15
Ba Ria - Vung Tau,4/7/2025,4/13/2025,23.12
Bac Lieu,4/7/2025,4/13/2025,25.73
Ben Tre,4/7/2025,4/13/2025,18.33
Binh Duong,4/7/2025,4/13/2025,2.56
Binh Phuoc,4/7/2025,4/13/2025,0.82
Ca Mau,4/7/2025,4/13/2025,29.87
Can Tho,4/7/2025,4/13/2025,0.32
Dong Nai,4/7/2025,4/13/2025,0.35
Dong Thap,4/7/2025,4/13/2025,0.55
Hau Giang,4/7/2025,4/13/2025,9.76
Ho Chi Minh City,4/7/2025,4/13/2025,14.98
Kien Giang,4/7/2025,4/13/2025,8.71
Long An,4/7/2025,4/13/2025,5.83
Soc Trang,4/7/2025,4/13/2025,15.23
Tay Ninh,4/7/2025,4/13/2025,1.2
Tien Giang,4/7/2025,4/13/2025,13.65
Tra Vinh,4/7/2025,4/13/2025,16.39
Vinh Long,4/7/2025,4/13/2025,5.46
