"location_id","region","province"
1,"Dong Nam Bo","Binh Duong"
2,"Dong Nam Bo","Binh Phuoc"
3,"Dong Nam Bo","TP. Ho Cho Minh"
4,"Dong Nam Bo","Dong Nai"
5,"Dong Nam Bo","Tay Ninh"
6,"Dong Nam Bo","Ba Ria - Vung Tau"
7,"Dong bang S.Cuu Long","Long An"
8,"Dong bang S.Cuu Long","Dong Thap"
9,"Dong bang S.Cuu Long","Tien Giang"
10,"Dong bang S.Cuu Long","An Giang"
11,"Dong bang S.Cuu Long","Ben Tre"
12,"Dong bang S.Cuu Long","Vinh Long"
13,"Dong bang S.Cuu Long","Tra Vinh"
14,"Dong bang S.Cuu Long","Hau Giang"
15,"Dong bang S.Cuu Long","Kien Giang"
16,"Dong bang S.Cuu Long","Soc Trang"
17,"Dong bang S.Cuu Long","Bac Lieu"
18,"Dong bang S.Cuu Long","Ca Mau"
19,"Dong bang S.Cuu Long","TP. Can Tho"
